10199	并不是聊得来,就适合在一起;并不是适合,就能够在一起;并不是能够在一起,就会永远在一起;也并不是永远在一起了就会幸福。	happiness
3555	一旦学会了破罐子破摔,你就会发现世界豁然开朗![lt切克闹]	happiness
17571	天天好心情[太开心]	happiness
3034	这两天好无聊	disgust
18842	如果懂事就好了。	sadness
10659	幸福的人生,需要三种姿态:对过去,要淡;对现在,要惜;对未来,要信。人生的答卷没有橡皮擦,写上去就无法再更改,过去的就让它过去,否则就是跟自己过不去。真正属于你的,只有活生生的现在,只有握得住当下,才有可能掌控自己的命运。	happiness
13599	今天历史聚餐老师竟然让我们喝酒	happiness
25121	学生全是98年后出生的,班会课听歌猜歌名全是飞天小女警,蓝猫淘气3000问,樱桃小丸子。。。瞬间感觉自己是没有童年的人啊!	sadness
29861	当你失去的人不断出现在你脑海里偶尔想打他偶尔想念他还在理身边的时候单身83天我以为我过得很好可是就是要假装过得很好😂😂😂	sadness
17820	感觉总是在不刻意想起的时候就忘记了	anger
26913	前段儿时间,每次登录live邮箱,都觉得界面怪怪的,直到有一天它换了张图	disgust
17816	你有什么不开心的事?说出来让大家开心一下。	disgust
9314	【平原公安:四小时擒获一敲诈勒索绑匪】近日,平原县公安局接到报警称一男孩被绑架,遂召集警力展开救援,仅4小时便将绑匪吴某擒获。令人意外的是,“被绑架”的孩子竟然在网吧上网,根本就不知道自己“被绑架”。现平原县检察院以敲诈勒索罪批准逮捕犯罪嫌疑人吴某。	like
24298	电影黄金时代,我觉得优秀的地方是海报,这个电影本身的表现形式貌似走偏?宁浩的心花怒放,看完了完整预告片,觉得故事犹豫在喜剧和文艺之间,连影像质感都欠奉。	sadness
494	分手第三天	sadness
7715	更换了手机和电脑的壁纸,更新了一些软件,虽然从中浪费了些许的时间,但是心中莫名的出现小成就感,也许我就是这样容易心情好吧,总是会突发奇想弄些花花草草,偶尔养养小鱼什么的,人生其实是可以很轻松的,只要你愿意,你想,是的,当然在做了一些自己喜欢做的事情以后,也要完成完成工作咯	happiness
5860	水太蓝,所以想念漫出地平线风都留在树林里,所以叶子喜欢唱情歌阳光打磨鹅卵石,所以记忆越来越沉淀雨水想看爱人一眼,所以奋不顾身落到伞边这些都是你的心事,只有我读得懂,别人走太快,看都看不见白天你的影子都在自己脚边,晚上你的影子就变成夜,包裹我的睡眠	like
7516	[怒骂]睡觉冻到起来找被子,成何体统[熊猫]	sadness
12538	旁边坐了个装逼的白富美我就一副纯纯的diaos样涂防晒然后看着她不屑我的样子心里特爽遇见穿着地摊鞋山寨burberry包还硬拗白富美造型的就别管你是不是手上两克拉脚上prada一副diaos样就是最好武器	happiness
9798	我知道我的言行举止有点不好,我知道我的行为有点冲动,但是我是为你生气,为你感到不值,我很生气才会这样的。对不起了。	sadness
6075	一天天的无聊到崩溃[抓狂][抓狂][抓狂]	disgust
30048	其实做人挺难的、做tm好人更是难上加难、记住、你得到多少取决于你付出过多少、没人生下来就什么都有、你帮助我、是你愿意滴、别指望我还你。	sadness
31372	竟然有人在地铁上面要钱!!!!	surprise
21551	有谁来买我的火柴	sadness
26750	[太开心]幸福像花儿一样,幸福是一种让你发自内心嘴角上扬的美好感受,谢谢让我感到幸福的你们......感谢真心真意的好	happiness
5079	年轻的时候,你喜欢喝烈性酒,你觉得时间里的爱和恨会随着酒精在肚子里燃烧挥发。现在,你只喝白开水,因为你昨天喝酒开车被逮了!	disgust
8999	以后电脑升系统前一定要百度一下先	sadness
30591	玩了三小时的游戏没存档一个wrongend就打回原形[泪]	sadness
28926	老公,在过去的2012年里,感谢你对我的包容,我替我所有的任性对你说声对不起!希望在新的一年里你会更加爱我,更加包容我,更加宠我,你的女王![嘻嘻]	sadness
9425	推荐一个电影1994年的《活着》葛优巩俐联合出演,叙述一位经历磨难和充满挫折的人生,生活本就如此	like
22697	是感冒的时候可以暂且不顾功课地待在床上读三毛传记,是读三毛读午休时梦见和她去郊游。	happiness
4202	有时候可能抱太大期望吧,有期待...可是当收到的不是自己想要的时候真心失望,失望透了[衰]所以以后换片还是先看图吧...我受不了失望这种感觉[伤心]也减低了友谊的信任度...我真的不懂欣赏油画艺术画之类的明信片,请不要给我寄,寄给喜欢的人吧~	sadness
3472	成群结对的文人真可怕	disgust
511	连青菜都放蒜放姜煮,还给不给人愉快的吃饭了[呵呵]	sadness
21430	我竟然没有对不起的人或事。。	sadness
990	当好朋友因为你的过错离去的时候你唯一能做的只有期待她原谅你尽管很难。	sadness
26469	家人一直逼自己,可岁月年华就这么急忙忙的路过吗?不甘!我依旧相信自己!后果也自行负责!	sadness
25063	我要让爱我的人自豪弃我的人后悔[嘻嘻][嘻嘻]	happiness
2101	有时候偏执会让人陷入疯狂...[抓狂][抓狂]要淡定啊...[奥特曼][微风]	sadness
25124	电脑终于好了。。可手机还在苦逼中,悲催的生活[泪]	sadness
6754	完全忘记昨天半夜是怎么还给一人发了微信。更神奇的是今早上看到他竟然还回了我四句话。[偷笑][偷笑][偷笑]	happiness
7255	姥爷在屋里挥动电蚊拍,丸子突然出现在他身后,啪地一声正碰在脑门上。丸子哭了,小眼瞄着姥爷,委屈地说:为什么打我,我又不是蚊子......呜呜呜......我是小苍蝇。	happiness
16786	不就吃颗苹果嘛,第一口咽被汁给呛着,第二口果肉能卡着喉咙半天下不去,第三口居然还咬着舌头!吃个苹果容易吗我!好了,不吃了站垃圾桶跟前把你扔了,居然还能掉出去!!![衰][泪]	sadness
